City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-134.9692,-23.1203,299.92,81,88,6.27,PF,1680484351
1,bluff,168.3333,-46.6,288.04,56,80,3.42,NZ,1680484353
2,namibe,12.1522,-15.1961,296.62,80,19,4.67,AO,1680484430
3,moindou,165.677,-21.6924,302.13,68,59,3.04,NC,1680484362
4,ushuaia,-68.3,-54.8,285.96,47,20,6.17,AR,1680484430
5,cape town,18.4232,-33.9258,291.97,89,75,3.09,ZA,1680483965
6,castro,-50.0119,-24.7911,287.67,96,3,3.35,BR,1680484349
7,saint-augustin,-58.6502,51.226,272.42,85,21,7.24,CA,1680484379
8,dikson,80.5464,73.5069,243.29,98,52,5.0,RU,1680484074
9,nikolskoye,30.7861,59.7035,271.09,96,100,5.27,RU,1680484355
10,craig,-107.5464,40.5153,280.03,65,100,1.54,US,1680484378
11,pevek,170.3133,69.7008,247.79,93,99,1.49,RU,1680484358
12,port alfred,26.891,-33.5906,294.92,73,100,1.34,ZA,1680484363
13,arraial do cabo,-42.0278,-22.9661,298.0,68,100,5.53,BR,1680484365
14,jamestown,-79.2353,42.097,275.95,45,0,1.54,US,1680484125
15,kilindoni,39.6668,-7.9139,300.35,79,100,6.25,TZ,1680484431
16,kodinar,70.7031,20.7903,295.27,81,5,3.16,IN,1680484431
17,la rioja,-2.5,42.25,274.03,91,6,1.61,ES,1680484431
18,mataura,168.8643,-46.1927,287.86,44,29,1.2,NZ,1680484345
19,lakes entrance,147.981,-37.8811,294.35,55,2,2.32,AU,1680484431
20,georgetown,100.3354,5.4112,299.11,89,40,4.63,MY,1680484093
21,awjilah,21.2869,29.1081,292.59,15,0,6.16,LY,1680484431
22,anshun,105.9333,26.25,293.1,48,0,10.2,CN,1680484431
23,khanpur,70.6567,28.6453,293.57,73,2,4.34,PK,1680484431
24,lorengau,147.2712,-2.0226,302.21,71,79,4.16,PG,1680484376
25,talcahuano,-73.1167,-36.7167,287.97,67,0,5.66,CL,1680484432
26,albany,-73.9662,42.6001,275.17,33,29,2.08,US,1680484165
27,vestmannaeyjar,-20.2734,63.4427,278.7,93,100,13.38,IS,1680484432
28,provideniya,-173.3,64.3833,263.35,52,40,2.0,RU,1680484356
29,udala,-2.5125,43.0778,279.89,95,100,1.82,ES,1680484432
30,busselton,115.3333,-33.65,292.75,69,4,4.91,AU,1680484347
31,hasaki,140.8333,35.7333,288.37,56,49,9.24,JP,1680484373
32,ayorou,0.9174,14.7308,301.12,9,100,3.39,NE,1680484432
33,shingu,135.9833,33.7333,286.7,83,100,5.22,JP,1680484432
34,portland,-122.6762,45.5234,280.71,84,100,5.66,US,1680484111
35,port blair,92.75,11.6667,299.56,73,98,3.04,IN,1680484073
36,vaini,-175.2,-21.2,303.24,66,40,5.14,TO,1680484353
37,kapaa,-159.319,22.0752,300.48,79,40,4.63,US,1680484362
38,qaanaaq,-69.3632,77.484,246.48,63,0,0.66,GL,1680484357
39,carnarvon,113.6333,-24.8667,297.42,75,99,3.74,AU,1680484357
40,monteagudo,-63.9833,-19.8167,293.67,79,100,0.74,BO,1680484269
41,iskitim,83.3045,54.6366,264.31,82,21,2.78,RU,1680484432
42,new norfolk,147.0587,-42.7826,291.99,59,69,0.89,AU,1680484349
43,torbay,-52.7314,47.6666,276.14,91,100,1.79,CA,1680484354
44,port keats,129.55,-14.25,303.74,62,98,0.92,AU,1680484246
45,mareeba,145.4333,-17.0,302.28,77,31,2.02,AU,1680484433
46,punta arenas,-70.9167,-53.15,284.21,54,40,5.14,CL,1680484318
47,khatassy,129.6383,61.9036,261.14,87,11,2.63,RU,1680484433
48,nanortalik,-45.2371,60.1432,272.04,92,100,2.32,GL,1680484358
49,mount gambier,140.7667,-37.8333,290.93,50,67,1.51,AU,1680484188
50,nemuro,145.575,43.3236,275.23,67,0,5.19,JP,1680484358
51,rawdon,-73.7159,46.0501,271.0,91,94,1.84,CA,1680484433
52,vila franca do campo,-25.4333,37.7167,286.38,61,100,4.75,PT,1680484373
53,lebu,-73.65,-37.6167,285.01,82,3,6.59,CL,1680484355
54,puerto ayora,-90.3518,-0.7393,300.68,90,67,3.58,EC,1680484354
55,leningradskiy,178.4167,69.3833,252.46,85,100,5.19,RU,1680484379
56,buraydah,43.975,26.326,287.97,23,0,3.45,SA,1680484433
57,reyes,-67.3833,-14.3167,295.8,98,16,0.52,BO,1680484433
58,beni,29.4667,0.5,289.26,99,100,0.73,CD,1680484434
59,celestun,-90.4,20.8667,299.11,79,5,7.71,MX,1680484406
60,hilo,-155.09,19.7297,297.75,94,100,2.06,US,1680484354
61,kargasok,80.8572,59.0556,271.13,88,100,4.95,RU,1680484434
62,coquimbo,-71.3436,-29.9533,289.0,100,0,1.03,CL,1680484434
63,turukhansk,87.9833,65.8167,269.78,88,100,3.83,RU,1680484350
64,la ronge,-105.2842,55.1001,264.13,88,100,3.65,CA,1680484434
65,saskylakh,114.0833,71.9167,265.76,94,100,0.32,RU,1680484347
66,taman,36.7161,45.2117,282.73,86,100,9.06,RU,1680484434
67,cherskiy,161.3,68.75,248.62,88,7,2.39,RU,1680484356
68,talca,-71.6667,-35.4333,291.34,43,24,2.56,CL,1680484434
69,pacific grove,-121.9166,36.6177,286.79,72,100,5.36,US,1680484106
70,churapcha,132.4325,62.0025,263.99,84,53,2.76,RU,1680484434
71,saint-philippe,55.7679,-21.3585,296.92,79,53,3.04,RE,1680484348
72,bredasdorp,20.0403,-34.5322,291.36,89,85,3.71,ZA,1680484103
73,sakakah,40.2064,29.9697,288.03,24,0,1.03,SA,1680484434
74,mahebourg,57.7,-20.4081,297.73,83,100,3.88,MU,1680484349
75,hobart,147.3294,-42.8794,292.18,57,20,4.12,AU,1680484151
76,aklavik,-135.0107,68.2191,264.85,81,100,2.09,CA,1680484366
77,palestine,35.2033,31.9216,283.67,65,0,0.81,PS,1680484434
78,ketchikan,-131.6461,55.3422,281.14,53,20,3.6,US,1680484374
79,butaritari,172.7902,3.0707,301.0,76,100,5.2,KI,1680484352
80,kruisfontein,24.7314,-34.0033,290.86,89,100,5.37,ZA,1680484354
81,ciudad bolivar,-63.5497,8.1222,301.68,56,100,6.6,VE,1680484435
82,codrington,141.9667,-38.2667,290.68,54,6,2.37,AU,1680484363
83,yellowknife,-114.3525,62.456,264.03,88,99,1.89,CA,1680484348
84,atuona,-139.0333,-9.8,300.5,76,61,6.7,PF,1680484351
85,hobyo,48.5268,5.3505,301.4,74,41,3.39,SO,1680484360
86,barrow,-156.7887,71.2906,258.16,85,100,3.09,US,1680484361
87,peruibe,-46.9983,-24.32,294.71,83,100,1.74,BR,1680484268
88,fatehabad,75.45,29.5167,291.69,68,1,3.33,IN,1680484435
89,zhaozhou,125.3167,45.6833,285.19,42,100,6.94,CN,1680484435
90,dondo,34.7431,-19.6094,293.76,90,48,1.75,MZ,1680484435
91,te anau,167.7167,-45.4167,287.73,50,43,0.75,NZ,1680484362
92,kang,22.7876,-23.6752,294.43,50,100,3.56,BW,1680484435
93,beringovskiy,179.3167,63.05,269.62,82,100,2.22,RU,1680484366
94,redcliffe,153.0973,-27.2307,300.63,50,40,3.6,AU,1680484435
95,agdas,47.4761,40.65,281.08,88,68,0.91,AZ,1680484435
96,thompson,-97.8558,55.7435,259.86,90,100,3.5,CA,1680484364
97,narsaq,-46.05,60.9167,278.27,76,100,3.35,GL,1680484353
98,hermanus,19.2345,-34.4187,291.37,88,100,3.88,ZA,1680484349
99,chuka,37.6459,-0.3332,289.09,89,23,1.72,KE,1680484436
100,homer,-151.5483,59.6425,276.08,60,0,5.81,US,1680484436
101,rawson,-65.1023,-43.3002,288.32,60,0,7.93,AR,1680484127
102,karacakoy,28.3834,41.4029,285.75,95,100,2.09,TR,1680484436
103,tasiilaq,-37.6368,65.6145,271.24,91,100,2.76,GL,1680484349
104,avarua,-159.775,-21.2078,301.18,69,20,3.6,CK,1680484370
105,quatre cocos,57.7625,-20.2078,297.64,82,97,3.51,MU,1680484436
106,todos santos,-110.2167,23.45,295.62,70,100,4.85,MX,1680484436
107,saldanha,17.9442,-33.0117,290.2,90,99,6.08,ZA,1680484355
108,sibolga,98.7792,1.7427,297.08,91,100,1.58,ID,1680484436
109,esperance,121.9,-33.8667,292.81,68,85,3.0,AU,1680484267
110,mar del plata,-57.5575,-38.0023,292.64,66,0,1.54,AR,1680484355
111,korla,86.1469,41.7597,274.25,26,2,8.74,CN,1680484351
112,luderitz,15.1594,-26.6481,288.4,86,3,6.11,NA,1680484375
113,baykit,96.37,61.67,265.71,96,100,1.86,RU,1680484382
114,muli,73.5667,2.9167,300.97,71,94,2.13,MV,1680484437
115,bom jesus,-44.3586,-9.0744,298.54,63,75,1.23,BR,1680484383
116,khatanga,102.5,71.9667,258.64,95,100,4.77,RU,1680484356
117,kahului,-156.47,20.8947,297.16,78,75,6.17,US,1680484382
118,ponta do sol,-17.1,32.6667,292.04,82,5,0.9,PT,1680484364
119,sikonge,32.7667,-5.6333,290.51,92,94,0.96,TZ,1680484437
120,sinop,34.8709,41.7711,282.07,97,100,1.2,TR,1680484437
121,kavieng,150.7967,-2.5744,302.73,67,100,4.98,PG,1680484357
122,puerto lopez,-72.956,4.0845,296.84,81,97,1.51,CO,1680484437
123,baglung,83.5898,28.2719,285.6,71,5,2.38,NP,1680484437
124,bengkulu,102.2655,-3.8004,297.64,86,100,1.66,ID,1680484346
125,henties bay,14.2845,-22.116,288.83,91,11,2.36,NA,1680484387
126,saint-pierre,55.4781,-21.3393,296.97,73,0,1.54,RE,1680484437
127,belmonte,-38.8828,-15.8631,299.04,76,9,2.99,BR,1680484437
128,nome,-165.4064,64.5011,264.35,79,0,1.54,US,1680484133
129,santa fe,-60.7,-31.6333,295.92,72,46,0.45,AR,1680484263
130,silikatnyy,48.3275,53.9896,276.04,79,96,1.91,RU,1680484437
131,araioses,-41.9031,-2.89,296.77,93,100,2.03,BR,1680484438
132,durban,31.0292,-29.8579,295.38,92,34,3.99,ZA,1680484438
133,tessalit,1.0114,20.1986,297.98,7,51,4.01,ML,1680484438
134,sao filipe,-24.4956,14.8961,297.36,66,0,2.59,CV,1680484359
135,dromolaxia,33.586,34.8761,287.58,87,0,2.06,CY,1680484438
136,bethel,-73.414,41.3712,278.67,36,0,2.06,US,1680484346
137,winnemucca,-117.7357,40.973,279.18,70,100,6.17,US,1680484438
138,luwuk,122.7875,-0.9516,301.66,71,100,1.22,ID,1680484438
139,port moresby,147.1797,-9.4431,300.3,77,99,1.47,PG,1680484370
140,dumai,101.45,1.6833,297.1,96,100,1.57,ID,1680484438
141,yulara,130.9889,-25.2406,299.51,40,5,3.49,AU,1680484396
142,victoria,114.1577,22.2855,295.48,89,100,0.45,HK,1680484122
143,salalah,54.0924,17.0151,302.2,37,0,5.14,OM,1680484392
144,bonthe,-12.505,7.5264,299.19,89,1,2.82,SL,1680484438
145,faanui,-151.75,-16.4833,301.52,68,100,2.6,PF,1680484373
146,lahat,103.5333,-3.8,297.87,78,100,0.24,ID,1680484438
147,daru,143.2092,-9.0763,302.71,67,91,2.18,PG,1680484438
148,tura,90.2201,25.5198,292.36,81,0,2.42,IN,1680484439
149,panshi,126.0561,42.9422,291.06,25,100,4.56,CN,1680484439
150,port elizabeth,25.5701,-33.918,293.32,75,100,4.02,ZA,1680484355
151,bandarbeyla,50.8122,9.4942,300.21,76,8,2.59,SO,1680484103
152,ancud,-73.8203,-41.8697,283.3,77,1,1.32,CL,1680484097
153,nuuk,-51.7216,64.1835,267.67,64,6,4.98,GL,1680484375
154,severobaykalsk,109.3167,55.65,261.55,69,98,0.68,RU,1680484439
155,tuktoyaktuk,-133.0374,69.4541,257.89,93,22,4.43,CA,1680484358
156,esmeraldas,-44.3139,-19.7625,295.63,92,100,2.0,BR,1680484439
157,asino,86.1452,56.9979,267.76,83,100,6.2,RU,1680484439
158,rocha,-54.3333,-34.4833,290.06,68,49,1.92,UY,1680484439
159,mandalgovi,106.2708,45.7625,262.61,38,15,6.53,MN,1680484439
160,sola,167.55,-13.8833,301.56,74,100,5.36,VU,1680484440
161,noumea,166.4572,-22.2763,304.14,99,36,4.96,NC,1680484263
162,key west,-81.7826,24.5557,300.37,81,0,1.54,US,1680484334
163,kindu,25.95,-2.95,293.02,99,82,0.6,CD,1680484440
164,lagoa formosa,-46.4075,-18.7786,292.6,95,100,1.61,BR,1680484440
165,corn island,-83.0418,12.1694,299.71,81,1,9.57,NI,1680484440
166,pyu,96.4333,18.4833,299.24,61,15,1.67,MM,1680484440
167,bubaque,-15.8333,11.2833,298.65,79,5,6.34,GW,1680484367
168,ambilobe,49.05,-13.2,295.4,96,100,1.19,MG,1680484440
169,katsuura,140.3,35.1333,285.48,64,100,8.98,JP,1680484406
170,usinsk,57.5281,65.9939,257.34,87,6,3.84,RU,1680484390
171,tomatlan,-105.25,19.9333,297.44,64,100,2.02,MX,1680484440
172,arlit,7.3853,18.7369,297.19,5,100,3.98,NE,1680484367
173,tutoia,-42.2744,-2.7619,297.41,89,100,2.89,BR,1680484440
174,saint george,-113.5841,37.1041,294.23,20,0,2.57,US,1680484341
175,morondava,44.2833,-20.2833,297.88,88,3,2.16,MG,1680484440
176,broome,-75.833,42.2506,273.71,51,24,0.89,US,1680484349
177,kencong,113.3667,-8.2833,299.23,83,100,0.47,ID,1680484441
178,hithadhoo,73.0833,-0.6,301.03,69,18,2.77,MV,1680484349
179,chuy,-53.4616,-33.6971,290.28,80,79,2.29,UY,1680484350
180,zhanaozen,52.8,43.3,279.37,73,100,5.65,KZ,1680484441
181,severnoye,78.3619,56.3491,266.86,76,9,4.28,RU,1680484441
182,fare,-151.0167,-16.7,301.44,69,55,2.53,PF,1680484441
183,sinnamary,-52.95,5.3833,297.86,85,73,3.81,GF,1680484406
184,olafsvik,-23.7142,64.8945,276.87,89,100,4.5,IS,1680484384
185,constitucion,-72.4167,-35.3333,287.32,74,22,6.1,CL,1680484441
186,polunochnoye,60.4153,60.8697,270.07,97,74,0.98,RU,1680484441
187,kununurra,128.7333,-15.7667,298.14,94,70,2.06,AU,1680484099
188,bouillante,-61.7692,16.1304,296.72,75,45,6.02,GP,1680484441
189,rio blanco,-97.15,18.8333,293.62,68,9,1.17,MX,1680484442
190,jacareacanga,-57.7528,-6.2222,294.29,99,100,0.35,BR,1680484442
191,oeiras do para,-49.8544,-2.0031,296.21,97,100,1.32,BR,1680484270
192,lavrentiya,-171.0,65.5833,259.79,75,99,1.51,RU,1680484345
193,palu,119.8707,-0.8917,299.96,81,100,0.53,ID,1680484352
194,cayenne,-52.3333,4.9333,296.17,94,75,1.03,GF,1680484393
195,half moon bay,-122.4286,37.4636,286.67,73,100,10.8,US,1680484372
196,tupik,119.9327,54.4253,264.05,80,100,2.91,RU,1680484442
197,lasa,10.7002,46.6166,276.68,94,84,2.82,IT,1680484390
198,cidreira,-50.2056,-30.1811,293.57,66,10,3.77,BR,1680484271
199,dunedin,170.5036,-45.8742,287.71,54,25,2.55,NZ,1680484371
200,hami,93.45,42.8,275.59,25,15,5.22,CN,1680484381
201,shu,73.7614,43.5983,275.89,23,5,4.17,KZ,1680484442
