City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tanete,-3.9443,119.7848,23.98,94,81,1.04,ID,1680539277
1,mahebourg,-20.4081,57.7,26.81,83,40,2.57,MU,1680539733
2,port augusta,-32.5,137.7667,17.08,32,5,1.73,AU,1680539277
3,punta arenas,-53.15,-70.9167,16.06,47,0,8.23,CL,1680539733
4,constitucion,-35.3333,-72.4167,19.94,54,100,6.61,CL,1680539733
5,hasaki,35.7333,140.8333,7.9,52,0,5.31,JP,1680539734
6,itarema,-2.9248,-39.9167,28.02,74,74,2.35,BR,1680539278
7,ushuaia,-54.8,-68.3,16.81,36,20,9.26,AR,1680539734
8,jamestown,42.097,-79.2353,15.77,44,0,6.17,US,1680539734
9,sicamous,50.8331,-118.9856,1.77,79,100,0.96,CA,1680539278
10,pevek,69.7008,170.3133,-33.14,100,81,2.92,RU,1680539734
11,barrow,71.2906,-156.7887,-16.99,85,100,5.66,US,1680539734
12,pangnirtung,66.1451,-65.7125,-18.0,78,20,3.6,CA,1680539735
13,avarua,-21.2078,-159.775,25.03,69,95,2.06,CK,1680539735
14,qaanaaq,77.484,-69.3632,-21.93,73,0,1.01,GL,1680539735
15,butaritari,3.0707,172.7902,27.61,80,90,7.88,KI,1680539735
16,norman wells,65.282,-126.8329,-9.98,85,100,1.03,CA,1680539736
17,albany,42.6001,-73.9662,12.12,31,36,2.24,US,1680539674
18,pisco,-13.7,-76.2167,26.12,83,0,3.6,PE,1680539736
19,kavaratti,10.5669,72.642,28.25,69,15,5.34,IN,1680539736
20,sur,22.5667,59.5289,24.31,55,6,1.2,OM,1680539279
21,sitka,57.0531,-135.33,2.94,75,20,4.12,US,1680539279
22,chuy,-33.6971,-53.4616,15.95,85,100,0.99,UY,1680539736
23,carnarvon,-24.8667,113.6333,24.35,74,86,3.79,AU,1680539737
24,khatanga,71.9667,102.5,-22.39,99,100,2.7,RU,1680539737
25,coruripe,-10.1256,-36.1756,29.54,61,99,4.08,BR,1680538988
26,mataura,-46.1927,168.8643,7.45,92,77,0.6,NZ,1680539468
27,omboue,-1.5746,9.2618,26.77,82,89,4.48,GA,1680539737
